￥299.00|中兴（ZTE） S36 移动4G 双卡双待 老人机智能手机 金色【京东自营】5英寸大屏 移动4G 四核CPU 超长待机 大字体划时代双屏解决方案——四种模式刷新商务、游戏、直播、阅读、拍照掌中体验，火爆预约中！||中兴手机京东自营官方旗舰店|6400+条评价|
￥198.00|飞利浦（PHILIPS）E209J 正品超长待机大声大字 移动联通2G 双卡双待直板按键 老人手机学生功能机 咖啡黑【618手机大促】6月1日-2日百款手机秒杀！ 618元神券放送！上亿神券派不停！新品手机大量到货！猛戳享福利|||8900+条评价|
￥79.00|尼凯恩（neken） EN8 老年人手机 移动/联通 双卡双待 老人机 金色大屏幕 大字体 大声音 持久待机 一键拨号 QQ微信上网||秀碧手机专营店|1.5万+条评价|
￥188.00|SAMWEI C20电信老人机 电信2G 老年手机三防 男 绿色  老年电信版特色手机 限量加送手机皮套（皮套与手机分开发货）  信号稳定声音大 长待机备用功能机||维库精品手机专营店|2.7万+条评价|
￥899.00|小辣椒 红辣椒7X 4GB+64GB 人脸识别 全面屏双摄美拍 微Q八开 移动联通电信4G手机 双卡双待 黑色|||2.5万+条评价|
￥1999.00|华为（HUAWEI） 华为nova3e 手机 幻夜黑 全网通(4G+64G)下单立减120丨赠双耳蓝牙耳机等丨含原装耳机/壳丨人脸+指纹识别丨快充丨夜拍>Nova2s||华信通手机专营店|1700+条评价|
￥7468.00|Apple 苹果X iPhoneX 全网通4G手机 深空灰色 64G 标配【原封正品 】下单就送指环扣+壳+膜+自拍杆【抢购苹果8Plus】||新松联手机旗舰店|1.1万+条评价|
￥65.00|纽曼（Newman）V1 黑色 移动联通2G 直板按键 双卡双待 老人手机学生备用功能机【618手机大促】6月1日-2日百款手机秒杀！ 618元神券放送！上亿神券派不停！新品手机大量到货！猛戳享福利||纽曼京东自营官方旗舰店|2.5万+条评价|
￥89.00|天语（K-TOUCH）X71 移动/联通2G 直板按键 双卡双待 老人手机 学生备用功能机 金色【618手机大促】3W+好评，2.4英寸大屏，8个一键拨号，语音播报，相机闹钟日历等功能 ！ 618活动请猛戳>>||天语手机京东自营官方旗舰店|4.3万+条评价|
￥1949.00|小米（MI） 小米 Note3 手机 亮黑 全网通(6GB RAM+64GB ROM)标配版【下单送好礼】5.5英寸屏，骁龙660，人脸解锁，双摄镜头拍人更美！红米note5||佳沪手机旗舰店|5100+条评价|
￥839.00|天语（K-TOUCH）8848 Note5移动联通电信全网通4G智能手机（3G+64G ）双卡双待 锆石白|||100+条评价|
￥4629.00|Apple 苹果8 iPhone 8 (A1863) 全网通4G手机 金色 64GB【拍下立发！】送手机壳+手机膜+指环扣！数量有限，送完为止！||江苏中博手机专营店|300+条评价|
￥99.00|纽曼 Newman V18 黑色 移动/联通2G 老人手机 双卡双待 超长待机 三防功能机【618手机大促】6月1日-2日百款手机秒杀！ 618元神券放送！上亿神券派不停！新品手机大量到货！猛戳享福利||纽曼京东自营官方旗舰店|3800+条评价|
￥2999.00|YOTA YOTA3 双面屏阅读大屏手机 4+64G黑色 4G全网通 双卡双待手机【12期白条免息】双面屏/墨水屏/一面手机一面电纸书/更多活动参与||YOTA京东自营官方旗舰店|5600+条评价|
￥428.00|魅族（MEIZU） 魅蓝A5 移动联通4G智能手机 双卡双待 香槟金 （2GB+16GB）（支持移联双4G）金428！送硅胶.钢化.耳机.支架【写心得再送影视会员.正品现货.京东配送.认准博海】||博海宇通手机旗舰店|3100+条评价|
￥548.00|华为（HUAWEI） 荣耀 畅玩6 移动联通电信4G手机 双卡双待手机 金色 全网通(2G+16G)【大量现货,全新原封,正品国行】送爸妈, 长辈的首选机型！荣耀8青春热卖中！||旭永手机专营店|1万+条评价|
￥3899.00|一加 6 手机 OnePlus6 亮瓷黑 全网通（8G+128G）★官方授权，三期免息★赠好礼：一年碎屏险+蓝牙耳机+1W安电源+奇艺会员【热卖】5T||聚捷联盛手机旗舰店|300+条评价|
￥1899.00|Apple 苹果6  iPhone6 手机 4.7英寸 移动联通电信全网通 4G智能手机 金色 全网通标配 32GB【爆品热销】4.7英寸屏|小巧玲珑|下单即送壳膜大礼 抢购苹果6sp！！！||明日手机专营店|9900+条评价|
￥599.00|天语（K-TOUCH） 8848手机 全面屏  移动联通电信4G全网通  智能手机 玛瑙红 全网通(2GB RAM+16GB ROM)|||100+条评价|
￥296.00|飞利浦（PHILIPS） E571 海军蓝 直板时尚大屏 超长待机 移动联通2G 双卡双待 老人手机 学生备用功能机【京东自营】国际大牌,商务备机,时尚老年机！2.8英寸LCD大屏,170天超长待机,反向充电,高清拍照/视频播放/蓝牙/MP3/FM,千人通讯录飞利浦新品来袭>>||飞利浦手机京东自营旗舰店|2.2万+条评价|
￥5599.00|华为 （HUAWEI）P20Pro手机 全面屏徕卡三摄 极光色 全网通(6G 128G)【新品现货 京东物流 闪电发货】爆款推荐：诺基亚X6后置双摄+骁龙636，新品现货！！||泰业手机专营店|800+条评价|
￥1859.00|魅族（MEIZU） 魅蓝E3手机 曜石黑 全网通6GB+64GB【现货速发】6G大内存，索尼双摄，低温快充！新品魅族M15||易道手机专营店|1900+条评价|
￥399.00|小辣椒 红辣椒任性版Plus 大屏16GB ROM 移动联通电信4G全网通 老人智能手机 灰色新品上市！后置800万拍照/智能双系统/老人远程协助/全网通18年携手小辣椒一起红红火火！||小辣椒手机京东自营官方旗舰店|6400+条评价|
￥2199.00|Meitu 美图M8（MP1603）64GB 月光白 自拍美颜 全网通 移动联通电信4G手机领券立减，白条6期免息！新品T9开启预约，转盘抽奖赢好礼，戳||美图京东自营官方旗舰店|二手有售1.7万+条评价|
￥339.00|酷派（Coolpad） 酷派 5267 移动联通电信4G 智能手机老人机 白色 全网通4G(1GB RAM+8G ROM)高配版418现货【可切换老人系统爸妈也能用【京东仓储配送 货票同行】机身轻巧纤薄 高性价比||众盛手机专营店|9400+条评价|
￥3458.00|小米（MI） 小米mix2S 手机 黑色 全网通 6GB+128GB骁龙845-双频GPS手机定位-AI变焦双摄-小米8周年旗舰-小米8||易道手机专营店|2900+条评价|
￥7999.00|vetas V5Pro小牛皮 全网通4G 智能手机商务轻奢双系统 超长待机 双卡双待 黑色 (4G RAM+128G ROM)|||60+条评价|
￥565.00|小米（MI） 小米4A 红米4A 4G手机 香槟金 公开全网通(2G RAM+16G ROM)【红米note5限时抢购】流畅打王者，信号稳定，通话清晰，5.0英寸屏，学生机。||牧申手机旗舰店|4.1万+条评价|
￥2999.00|OPPO R15新品【星空紫/红/白/星云版】分期免息 6G+128G内存 双卡双待 R11S手机 星空紫(6G+128G) 全网通分期免息 现货速发◆送智能手环+限时加送高保真蓝牙耳机+原装配件+碎屏险◆红蓝配色星云版||OPPO酷炫手机专卖店|2200+条评价|
￥198.00|酷派[Coolpad]S618 电信老人机 老年手机 男 女 金色特色手机【新品送赠品】直板老人手机 电信版 电池耐用 通话质量好 显示农历 支持4G卡槽||维库精品手机专营店|600+条评价|
